Time (min) after hs,csnEx1 o/c,csnEx1 o/c,csnEx1 o/c,csnEx1 o/c,wt sibs of Ex1,wt sibs of Ex1,wt sibs of Ex1,wt sibs of Ex1,csnEx2 o/c,csnEx2 o/c,csnEx2 o/c,csnEx2 o/c,wt sibs of csnEx2,wt sibs of csnEx2,wt sibs of csnEx2,wt sibs of csnEx2,csnEx1;adm-4(sy1161),csnEx1;adm-4(sy1161),csnEx1;adm-4(sy1161),csnEx1;adm-4(sy1161),csnEx2;adm-4(sy1161),csnEx2;adm-4(sy1161),csnEx2;adm-4(sy1161),csnEx2;adm-4(sy1161),adm-4(sy1161) non-transgenic siblings,adm-4(sy1161) non-transgenic siblings,adm-4(sy1161) non-transgenic siblings,adm-4(sy1161) non-transgenic siblings,csnEx1; let-23(sy10),csnEx1; let-23(sy10),csnEx1; let-23(sy10),csnEx1; let-23(sy10),csnEx1; ceh-17(np1),csnEx1; ceh-17(np1),csnEx1; ceh-17(np1),csnEx1; ceh-17(np1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.2,0.52,0.72,0.6,0.32,0.48,0.76,,0.32,0.88,0.76,,0.32,0.88,,,0,0.04,0.12,0,,4e-002,2.4e-001,,0,0.04,,,0.24,0.2,,,0.04,0,,
20,0.12,0.6,0.68,0.36,0.08,0.6,0.56,,0.28,0.6,0.88,,0.16,0.64,,,0,0,0,0,,0,4e-002,,0.04,0.04,,,0.2,0.12,,,0,0,,
30,0,0.48,0.4,0.32,0.04,0.44,0.44,,0.84,0.6,0.72,,0.08,0.32,,,0,0.04,0,0,,3.2e-001,4e-002,,0,0,,,0,0.16,,,0,0,,
45,0.04,0.16,0.36,0.12,0,0.2,0.32,,0.96,0.72,0.8,,0.04,0.04,,,0,0,0,0,,4.8e-001,7.2e-001,,0,0,,,0,0.16,,,0,0,,
60,0.8,0.32,0.28,0.36,0,0.08,0.08,,0.96,0.68,0.92,,0,0.08,,,0,0,0,0,,6e-001,8e-001,,0,0,,,0,0.12,,,0,0,,
75,0.92,0.96,0.68,0.96,0,0.04,0.08,,0.96,0.76,0.88,,0,0.08,,,0,0,0,0,,7.2e-001,9.2e-001,,0,0.04,,,0,0,,,0,0,,
90,0.96,1,0.96,1,0,0.04,0.04,,0.92,0.88,0.96,,0.04,0.12,,,0,0,0.04,0,,8.4e-001,9.2e-001,,0,0,,,0.2,0.2,,,0.08,0,,
120,1,1,0.92,1,0.04,0.04,0,,1,0.92,1,,0.04,0.16,,,0,0.36,0,0,,8.8e-001,8.8e-001,,0.04,0,,,0.4,0.24,,,0.08,0,,
150,1,0.96,0.92,0.96,0,0.12,0.04,,0.92,0.92,0.96,,0.04,0.12,,,0.24,0.68,0.08,0.24,,6.8e-001,8.4e-001,,0.04,0.04,,,0.32,0.08,,,0.16,0,,
180,1,0.88,0.92,0.96,0,0.12,0,,0.84,0.92,0.84,,0,0.08,,,0.48,0.84,0.12,0.48,,6e-001,6.8e-001,,0,0,,,0.16,0,,,,0,,
210,0.96,0.84,0.84,0.96,0,0.04,0,,0.76,0.96,0.76,,0,0.08,,,0.8,0.76,0.16,0.72,,5.6e-001,6e-001,,0,0,,,0.04,0,,,,0,,
240,0.88,0.88,0.76,0.92,0,0.04,0,,0.68,0.84,0.84,,0,0,,,0.76,0.72,0.12,0.76,,4.8e-001,6.4e-001,,0,0,,,,,,,,0,,
270,0.76,0.84,0.68,0.84,0,0,0,,0.56,0.8,0.76,,0,0,,,0.56,0.6,0.08,0.56,,3.6e-001,6.8e-001,,0.04,0,,,,,,,,0,,
300,0.72,0.8,0.52,0.68,0,0,0,,0.4,0.8,0.76,,0,0,,,0.48,0.52,0,0.48,,3.2e-001,6e-001,,0,0.04,,,,,,,,0,,
360,,0.76,0.44,0.44,,0,0,,,0.76,0.72,,,0,,,0.24,0.16,0,0.24,,1.6e-001,5.6e-001,,0,0,,,,,,,,0,,
420,,0.44,0.4,0.28,,0,0,,,0.72,0.76,,,0,,,0.08,0.08,0,0.08,,8e-002,7.2e-001,,0,0,,,,,,,,0,,
480,,0.28,0.36,0.2,,0,0,,,0.72,0.64,,,0,,,0.04,0,0,0.04,,8e-002,8.8e-001,,0,0,,,,,,,,0,,
